arrival_time_us,cpu_burst_duration_us,io_burst_duration_us,nice,weight,scheduling_class,cpu_request
1175978041,4533586,0,19,15,0,0.000880
1175978041,58149202,0,19,15,0,0.022705
1175978041,8191261,0,19,15,0,0.009415
1175978041,108983722,0,19,15,0,0.003788
1175978041,9553975,0,19,15,0,0.025879
1175978041,64317277,0,19,15,0,0.002377
1175978042,67564536,0,19,15,0,0.037415
1175978042,14332858,0,19,15,0,0.001057
1175978042,10001440,0,19,15,0,0.016907
1175978042,5560097,0,19,15,0,0.002731
1175978042,8603361,0,19,15,0,0.008453
1175978042,4829555,0,19,15,0,0.006248
1175978042,71211218,0,19,15,0,0.004227
1175978042,10785054,0,19,15,0,0.002026
1175978042,7094786,0,19,15,0,0.002026
1175978042,4769721,0,19,15,0,0.010925
1175978042,5566072,0,19,15,0,0.040222
1175978042,63518207,0,19,15,0,0.009415
1175978042,5537479,0,19,15,0,0.004051
1175978043,60799902,0,19,15,0,0.038940
1175978043,5545038,0,19,15,0,0.005371
1175978043,5720274,0,19,15,0,0.031006
1175978043,8537156,0,19,15,0,0.009720
1175978043,18717001,0,19,15,0,0.040527
1175978044,4156911,0,19,15,0,0.023682
1175978044,13966987,0,19,15,0,0.006516
1175978044,3669330,0,19,15,0,0.007843
1175978044,4494161,0,19,15,0,0.002907
1175978044,6674131,0,19,15,0,0.003788
1175978044,4162259,0,19,15,0,0.008636
1175978044,10157194,0,19,15,0,0.009338
1176027087,5486191,0,19,15,0,0.006516
1176027087,5484868,0,19,15,0,0.002377
1176027087,5484868,0,19,15,0,0.003521
1176027087,5505709,0,19,15,0,0.003960
1176027088,5488058,0,19,15,0,0.000616
1176027088,5485622,0,19,15,0,0.003521
1176027088,5505617,0,19,15,0,0.003960
1176423103,1228675,0,19,15,0,0.036377
1176423103,1098105,0,19,15,0,0.003170
1176874952,1447007,0,19,15,0,0.008545
1176874953,1448051,0,19,15,0,0.008102
1176905999,1371988,0,19,15,0,0.008362
1176906000,1031790,0,19,15,0,0.010651
1177581441,5612736,0,19,15,0,0.007042
1177587837,5628970,0,19,15,0,0.004051
1177594306,5615981,0,19,15,0,0.003788
